0 qid:8 1:0.714 2:0.714 3:0.956 4:0.543 5:0.375 6:11 # lp6583218e
0 qid:8 1:0.657 2:0.514 3:0.976 4:0.143 5:0.5 6:12 # lp30277
0 qid:8 1:0.6 2:0.657 3:0.89 4:0.771 5:0.2 6:13 # lpc08f9
0 qid:8 1:0.629 2:0.429 3:0.894 4:0.229 5:0.2 6:14 # lp800a1
0 qid:8 1:0.486 2:0.571 3:0.894 4:0.257 5:0.45 6:15 # lp6557c6e0
0 qid:8 1:0.514 2:0.457 3:0.89 4:0.4 5:0.325 6:16 # lp741c5
0 qid:8 1:0.571 2:0.486 3:0.984 4:0.171 5:0.312 6:17 # lpa0a8a
0 qid:8 1:0.543 2:0.629 3:0.98 4:0.086 5:0.375 6:18 # lp6574b103
0 qid:8 1:0.457 2:0.6 3:0.988 4:0.057 5:0.5 6:19 # lp656d40c7
0 qid:8 1:0.429 2:0.543 3:0.882 4:0.6 5:0.45 6:20 # lp656d3aa9
0 qid:8 1:0.4 2:0.2 3:0.8 4:0.371 5:0.812 6:21 # lp96bf6
0 qid:8 1:0.371 2:0.286 3:0.98 4:0 5:0.812 6:22 # lp5f0e5
0 qid:8 1:0.343 2:0.257 3:0.693 4:0.857 5:0.713 6:23 # lpc0df6
0 qid:8 1:0.314 2:0.343 3:0.984 4:0.429 5:0.688 6:24 # lp102b02
0 qid:8 1:0.286 2:0.171 3:0.89 4:0.657 5:0.762 6:25 # lp857b8
0 qid:8 1:0.257 2:0.314 3:0.89 4:0.457 5:0.762 6:26 # lp67286
0 qid:8 1:0.229 2:0.4 3:0.525 4:0.943 5:0.662 6:27 # lp6f007
0 qid:8 1:0.2 2:0.371 3:0.812 4:0.314 5:0.713 6:28 # lp65589ffb
0 qid:8 1:0.171 2:0.229 3:0.866 4:0.714 5:0.825 6:29 # lp73ace
0 qid:8 1:0.143 2:0.086 3:0.78 4:0.914 5:0.838 6:30 # lp6e625
0 qid:8 1:0.114 2:0.143 3:0.85 4:0.886 5:0.762 6:31 # lp40d3f
0 qid:8 1:0.057 2:0.114 3:0.862 4:0.829 5:0.762 6:32 # lp67708
0 qid:8 1:0.086 2:0.029 3:0.878 4:0.686 5:0.887 6:33 # lp72a36
0 qid:8 1:0.029 2:0.057 3:0.862 4:0.8 5:0.825 6:34 # lp7c172
0 qid:8 1:0 2:0 3:0.87 4:0.486 5:0.95 6:35 # lp43673
1 qid:9 1:0.971 2:0.971 3:0.866 4:0.714 5:0.825 6:1 # lp73ace
0 qid:9 1:0.943 2:0.943 3:0.812 4:0.314 5:0.713 6:2 # lp65589ffb
0 qid:9 1:0.886 2:0.8 3:0.89 4:0.457 5:0.762 6:3 # lp67286
0 qid:9 1:0.914 2:0.829 3:0.525 4:0.943 5:0.662 6:4 # lp6f007
0 qid:9 1:0.829 2:0.886 3:0.984 4:0.429 5:0.688 6:5 # lp102b02
0 qid:9 1:0.857 2:0.857 3:0.85 4:0.886 5:0.762 6:6 # lp40d3f
0 qid:9 1:0.771 2:0.914 3:0.862 4:0.829 5:0.762 6:7 # lp67708
0 qid:9 1:0.8 2:0.743 3:0.78 4:0.914 5:0.838 6:8 # lp6e625
0 qid:9 1:0.743 2:0.714 3:0.862 4:0.8 5:0.825 6:9 # lp7c172
0 qid:9 1:0.714 2:0.771 3:0.882 4:0.6 5:0.45 6:10 # lp656d3aa9
0 qid:9 1:0.686 2:0.514 3:0.878 4:0.686 5:0.887 6:11 # lp72a36
0 qid:9 1:0.629 2:0.657 3:0.894 4:0.257 5:0.45 6:12 # lp6557c6e0
0 qid:9 1:0.657 2:0.686 3:0.988 4:0.057 5:0.5 6:13 # lp656d40c7
0 qid:9 1:0.6 2:0.6 3:0.89 4:0.4 5:0.325 6:14 # lp741c5
0 qid:9 1:0.543 2:0.629 3:0.984 4:0.171 5:0.312 6:15 # lpa0a8a
0 qid:9 1:0.571 2:0.571 3:0.98 4:0.086 5:0.375 6:16 # lp6574b103
0 qid:9 1:0.514 2:0.543 3:0.89 4:0.771 5:0.2 6:17 # lpc08f9
0 qid:9 1:0.486 2:0.486 3:0.894 4:0.229 5:0.2 6:18 # lp800a1
0 qid:9 1:0.429 2:0.429 3:0.693 4:0.857 5:0.713 6:19 # lpc0df6
0 qid:9 1:0.457 2:0.457 3:0.98 4:0 5:0.812 6:20 # lp5f0e5
0 qid:9 1:0.371 2:0.286 3:0.8 4:0.371 5:0.812 6:21 # lp96bf6
0 qid:9 1:0.4 2:0.371 3:0.89 4:0.657 5:0.762 6:22 # lp857b8
0 qid:9 1:0.343 2:0.229 3:0.976 4:0.143 5:0.5 6:23 # lp30277
0 qid:9 1:0.314 2:0.343 3:0.98 4:0.343 5:0.375 6:24 # lp803e1
0 qid:9 1:0.286 2:0.314 3:0.956 4:0.543 5:0.375 6:25 # lp6583218e
0 qid:9 1:0.257 2:0.4 3:0.71 4:0.571 5:0.325 6:26 # lp3ca7d
0 qid:9 1:0.229 2:0.257 3:0.98 4:0.114 5:0.5 6:27 # lp33ddb
0 qid:9 1:0.2 2:0.2 3:0.988 4:0.029 5:0.375 6:28 # lpb1537
0 qid:9 1:0.171 2:0.029 3:0.968 4:0.2 5:0.562 6:29 # lp1bc0d
0 qid:9 1:0.143 2:0.143 3:0.968 4:0.286 5:0.625 6:30 # lp3e58e
0 qid:9 1:0.029 2:0.057 3:0.878 4:0.514 5:0.575 6:31 # lp9855f
0 qid:9 1:0.057 2:0.086 3:0.882 4:0.743 5:0.575 6:32 # lp655a9e91
0 qid:9 1:0.114 2:0.114 3:0.76 4:0.971 5:0.525 6:33 # lp71118
0 qid:9 1:0.086 2:0.171 3:0.878 4:0.629 5:0.575 6:34 # lp81760
0 qid:9 1:0 2:0 3:0.87 4:0.486 5:0.95 6:35 # lp43673
0 qid:10 1:0.971 2:0.971 3:0.878 4:0.686 5:0.887 6:1 # lp72a36
1 qid:10 1:0.943 2:0.943 3:0.78 4:0.914 5:0.838 6:2 # lp6e625
0 qid:10 1:0.914 2:0.914 3:0.862 4:0.829 5:0.762 6:3 # lp67708
0 qid:10 1:0.886 2:0.857 3:0.862 4:0.8 5:0.825 6:4 # lp7c172
0 qid:10 1:0.857 2:0.886 3:0.85 4:0.886 5:0.762 6:5 # lp40d3f
0 qid:10 1:0.829 2:0.8 3:0.866 4:0.714 5:0.825 6:6 # lp73ace
0 qid:10 1:0.8 2:0.771 3:0.89 4:0.457 5:0.762 6:7 # lp67286
0 qid:10 1:0.771 2:0.829 3:0.89 4:0.657 5:0.762 6:8 # lp857b8
0 qid:10 1:0.714 2:0.629 3:0.812 4:0.314 5:0.713 6:9 # lp65589ffb
0 qid:10 1:0.743 2:0.657 3:0.525 4:0.943 5:0.662 6:10 # lp6f007
0 qid:10 1:0.686 2:0.743 3:0.693 4:0.857 5:0.713 6:11 # lpc0df6
0 qid:10 1:0.657 2:0.686 3:0.98 4:0 5:0.812 6:12 # lp5f0e5
0 qid:10 1:0.6 2:0.6 3:0.984 4:0.429 5:0.688 6:13 # lp102b02
0 qid:10 1:0.629 2:0.714 3:0.8 4:0.371 5:0.812 6:14 # lp96bf6
0 qid:10 1:0.571 2:0.571 3:0.882 4:0.6 5:0.45 6:15 # lp656d3aa9
0 qid:10 1:0.543 2:0.514 3:0.89 4:0.4 5:0.325 6:16 # lp741c5
0 qid:10 1:0.514 2:0.457 3:0.988 4:0.057 5:0.5 6:17 # lp656d40c7
0 qid:10 1:0.457 2:0.543 3:0.984 4:0.171 5:0.312 6:18 # lpa0a8a
0 qid:10 1:0.486 2:0.371 3:0.894 4:0.229 5:0.2 6:19 # lp800a1
0 qid:10 1:0.429 2:0.429 3:0.894 4:0.257 5:0.45 6:20 # lp6557c6e0
0 qid:10 1:0.4 2:0.486 3:0.98 4:0.086 5:0.375 6:21 # lp6574b103
0 qid:10 1:0.371 2:0.4 3:0.89 4:0.771 5:0.2 6:22 # lpc08f9
0 qid:10 1:0.343 2:0.343 3:0.976 4:0.143 5:0.5 6:23 # lp30277
0 qid:10 1:0.314 2:0.257 3:0.956 4:0.543 5:0.375 6:24 # lp6583218e
0 qid:10 1:0.286 2:0.314 3:0.71 4:0.571 5:0.325 6:25 # lp3ca7d
0 qid:10 1:0.257 2:0.286 3:0.98 4:0.343 5:0.375 6:26 # lp803e1
0 qid:10 1:0.229 2:0.229 3:0.98 4:0.114 5:0.5 6:27 # lp33ddb
0 qid:10 1:0.2 2:0.2 3:0.988 4:0.029 5:0.375 6:28 # lpb1537
0 qid:10 1:0.171 2:0.029 3:0.968 4:0.2 5:0.562 6:29 # lp1bc0d
0 qid:10 1:0.086 2:0.086 3:0.878 4:0.514 5:0.575 6:30 # lp9855f
0 qid:10 1:0.114 2:0.143 3:0.882 4:0.743 5:0.575 6:31 # lp655a9e91
0 qid:10 1:0.143 2:0.171 3:0.76 4:0.971 5:0.525 6:32 # lp71118
0 qid:10 1:0.057 2:0.057 3:0.968 4:0.286 5:0.625 6:33 # lp3e58e
0 qid:10 1:0.029 2:0.114 3:0.878 4:0.629 5:0.575 6:34 # lp81760
0 qid:10 1:0 2:0 3:0.87 4:0.486 5:0.95 6:35 # lp43673
1 qid:11 1:0.971 2:0.971 3:0.862 4:0.8 5:0.825 6:1 # lp7c172
0 qid:11 1:0.943 2:0.914 3:0.862 4:0.829 5:0.762 6:2 # lp67708
0 qid:11 1:0.914 2:0.943 3:0.85 4:0.886 5:0.762 6:3 # lp40d3f
0 qid:11 1:0.886 2:0.857 3:0.878 4:0.686 5:0.887 6:4 # lp72a36
0 qid:11 1:0.857 2:0.886 3:0.866 4:0.714 5:0.825 6:5 # lp73ace
0 qid:11 1:0.829 2:0.743 3:0.78 4:0.914 5:0.838 6:6 # lp6e625
0 qid:11 1:0.8 2:0.829 3:0.812 4:0.314 5:0.713 6:7 # lp65589ffb
0 qid:11 1:0.771 2:0.714 3:0.525 4:0.943 5:0.662 6:8 # lp6f007
0 qid:11 1:0.743 2:0.771 3:0.89 4:0.457 5:0.762 6:9 # lp67286
0 qid:11 1:0.714 2:0.8 3:0.984 4:0.429 5:0.688 6:10 # lp102b02
0 qid:11 1:0.686 2:0.686 3:0.882 4:0.6 5:0.45 6:11 # lp656d3aa9
0 qid:11 1:0.657 2:0.6 3:0.988 4:0.057 5:0.5 6:12 # lp656d40c7
0 qid:11 1:0.629 2:0.543 3:0.894 4:0.257 5:0.45 6:13 # lp6557c6e0
0 qid:11 1:0.571 2:0.629 3:0.89 4:0.4 5:0.325 6:14 # lp741c5
0 qid:11 1:0.543 2:0.657 3:0.984 4:0.171 5:0.312 6:15 # lpa0a8a
0 qid:11 1:0.6 2:0.571 3:0.98 4:0.086 5:0.375 6:16 # lp6574b103
0 qid:11 1:0.457 2:0.429 3:0.693 4:0.857 5:0.713 6:17 # lpc0df6
0 qid:11 1:0.514 2:0.514 3:0.89 4:0.771 5:0.2 6:18 # lpc08f9
0 qid:11 1:0.486 2:0.371 3:0.89 4:0.657 5:0.762 6:19 # lp857b8
0 qid:11 1:0.429 2:0.457 3:0.98 4:0 5:0.812 6:20 # lp5f0e5
0 qid:11 1:0.371 2:0.286 3:0.8 4:0.371 5:0.812 6:21 # lp96bf6
0 qid:11 1:0.4 2:0.486 3:0.894 4:0.229 5:0.2 6:22 # lp800a1
0 qid:11 1:0.343 2:0.229 3:0.976 4:0.143 5:0.5 6:23 # lp30277
0 qid:11 1:0.314 2:0.343 3:0.98 4:0.343 5:0.375 6:24 # lp803e1
0 qid:11 1:0.286 2:0.314 3:0.956 4:0.543 5:0.375 6:25 # lp6583218e
0 qid:11 1:0.257 2:0.4 3:0.71 4:0.571 5:0.325 6:26 # lp3ca7d
0 qid:11 1:0.229 2:0.257 3:0.98 4:0.114 5:0.5 6:27 # lp33ddb
0 qid:11 1:0.2 2:0.2 3:0.988 4:0.029 5:0.375 6:28 # lpb1537
0 qid:11 1:0.143 2:0.143 3:0.968 4:0.286 5:0.625 6:29 # lp3e58e
0 qid:11 1:0.171 2:0.029 3:0.968 4:0.2 5:0.562 6:30 # lp1bc0d
0 qid:11 1:0.057 2:0.057 3:0.878 4:0.514 5:0.575 6:31 # lp9855f
0 qid:11 1:0.029 2:0.086 3:0.882 4:0.743 5:0.575 6:32 # lp655a9e91
0 qid:11 1:0.086 2:0.114 3:0.76 4:0.971 5:0.525 6:33 # lp71118
0 qid:11 1:0.114 2:0.171 3:0.878 4:0.629 5:0.575 6:34 # lp81760
0 qid:11 1:0 2:0 3:0.87 4:0.486 5:0.95 6:35 # lp43673
0 qid:12 1:0.971 2:0.971 3:0.89 4:0.657 5:0.762 6:1 # lp857b8
0 qid:12 1:0.943 2:0.943 3:0.693 4:0.857 5:0.713 6:2 # lpc0df6
1 qid:12 1:0.914 2:0.914 3:0.8 4:0.371 5:0.812 6:3 # lp96bf6
0 qid:12 1:0.886 2:0.886 3:0.98 4:0 5:0.812 6:4 # lp5f0e5
0 qid:12 1:0.829 2:0.829 3:0.878 4:0.686 5:0.887 6:5 # lp72a36
0 qid:12 1:0.857 2:0.857 3:0.78 4:0.914 5:0.838 6:6 # lp6e625
0 qid:12 1:0.8 2:0.8 3:0.976 4:0.143 5:0.5 6:7 # lp30277
0 qid:12 1:0.771 2:0.771 3:0.89 4:0.457 5:0.762 6:8 # lp67286
0 qid:12 1:0.743 2:0.629 3:0.894 4:0.229 5:0.2 6:9 # lp800a1
0 qid:12 1:0.714 2:0.714 3:0.89 4:0.4 5:0.325 6:10 # lp741c5
0 qid:12 1:0.686 2:0.6 3:0.525 4:0.943 5:0.662 6:11 # lp6f007
0 qid:12 1:0.629 2:0.514 3:0.882 4:0.6 5:0.45 6:12 # lp656d3aa9
0 qid:12 1:0.657 2:0.743 3:0.984 4:0.171 5:0.312 6:13 # lpa0a8a
0 qid:12 1:0.6 2:0.486 3:0.984 4:0.429 5:0.688 6:14 # lp102b02
0 qid:12 1:0.543 2:0.657 3:0.988 4:0.057 5:0.5 6:15 # lp656d40c7
0 qid:12 1:0.571 2:0.457 3:0.812 4:0.314 5:0.713 6:16 # lp65589ffb
0 qid:12 1:0.457 2:0.571 3:0.894 4:0.257 5:0.45 6:17 # lp6557c6e0
0 qid:12 1:0.486 2:0.686 3:0.98 4:0.086 5:0.375 6:18 # lp6574b103
0 qid:12 1:0.514 2:0.543 3:0.89 4:0.771 5:0.2 6:19 # lpc08f9
0 qid:12 1:0.429 2:0.4 3:0.866 4:0.714 5:0.825 6:20 # lp73ace
0 qid:12 1:0.4 2:0.2 3:0.862 4:0.829 5:0.762 6:21 # lp67708
0 qid:12 1:0.371 2:0.371 3:0.956 4:0.543 5:0.375 6:22 # lp6583218e
0 qid:12 1:0.343 2:0.429 3:0.71 4:0.571 5:0.325 6:23 # lp3ca7d
0 qid:12 1:0.257 2:0.314 3:0.98 4:0.343 5:0.375 6:24 # lp803e1
0 qid:12 1:0.314 2:0.286 3:0.98 4:0.114 5:0.5 6:25 # lp33ddb
0 qid:12 1:0.286 2:0.114 3:0.85 4:0.886 5:0.762 6:26 # lp40d3f
0 qid:12 1:0.229 2:0.029 3:0.862 4:0.8 5:0.825 6:27 # lp7c172
0 qid:12 1:0.2 2:0.343 3:0.988 4:0.029 5:0.375 6:28 # lpb1537
0 qid:12 1:0.171 2:0.086 3:0.968 4:0.2 5:0.562 6:29 # lp1bc0d
0 qid:12 1:0.143 2:0.257 3:0.76 4:0.971 5:0.525 6:30 # lp71118
0 qid:12 1:0.086 2:0.171 3:0.878 4:0.514 5:0.575 6:31 # lp9855f
0 qid:12 1:0.114 2:0.229 3:0.882 4:0.743 5:0.575 6:32 # lp655a9e91
0 qid:12 1:0.057 2:0.057 3:0.968 4:0.286 5:0.625 6:33 # lp3e58e
0 qid:12 1:0.029 2:0.143 3:0.878 4:0.629 5:0.575 6:34 # lp81760
0 qid:12 1:0 2:0 3:0.87 4:0.486 5:0.95 6:35 # lp43673
0 qid:13 1:0.971 2:0.771 3:0.894 4:0.257 5:0.45 6:1 # lp6557c6e0
1 qid:13 1:0.914 2:0.829 3:0.98 4:0.086 5:0.375 6:2 # lp6574b103
0 qid:13 1:0.943 2:0.971 3:0.988 4:0.057 5:0.5 6:3 # lp656d40c7
0 qid:13 1:0.829 2:0.943 3:0.882 4:0.6 5:0.45 6:4 # lp656d3aa9
0 qid:13 1:0.857 2:0.914 3:0.984 4:0.171 5:0.312 6:5 # lpa0a8a
0 qid:13 1:0.886 2:0.8 3:0.89 4:0.771 5:0.2 6:6 # lpc08f9
0 qid:13 1:0.8 2:0.857 3:0.89 4:0.4 5:0.325 6:7 # lp741c5
0 qid:13 1:0.771 2:0.657 3:0.894 4:0.229 5:0.2 6:8 # lp800a1
0 qid:13 1:0.743 2:0.714 3:0.984 4:0.429 5:0.688 6:9 # lp102b02
0 qid:13 1:0.714 2:0.571 3:0.98 4:0.343 5:0.375 6:10 # lp803e1
0 qid:13 1:0.686 2:0.543 3:0.956 4:0.543 5:0.375 6:11 # lp6583218e
0 qid:13 1:0.657 2:0.629 3:0.71 4:0.571 5:0.325 6:12 # lp3ca7d
0 qid:13 1:0.629 2:0.429 3:0.976 4:0.143 5:0.5 6:13 # lp30277
0 qid:13 1:0.6 2:0.514 3:0.98 4:0.114 5:0.5 6:14 # lp33ddb
0 qid:13 1:0.543 2:0.686 3:0.89 4:0.457 5:0.762 6:15 # lp67286
0 qid:13 1:0.571 2:0.886 3:0.525 4:0.943 5:0.662 6:16 # lp6f007
0 qid:13 1:0.514 2:0.743 3:0.812 4:0.314 5:0.713 6:17 # lp65589ffb
0 qid:13 1:0.486 2:0.286 3:0.988 4:0.029 5:0.375 6:18 # lpb1537
0 qid:13 1:0.457 2:0.457 3:0.98 4:0 5:0.812 6:19 # lp5f0e5
