qid,participant_id,task_id,anchor_id,primary_dimension,secondary_dimension,repeat_of,hotel_id,label,position,shown,spatial,accessibility,facility,economic,disruption,dwell_ms,n_shown,n_total,decision_ms,time_to_first_interaction_ms,revisions,final_sort,final_query,final_max_price,age_band,occupation,salary_band,home_area
1,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t1,,,,,lp9855f,0,0,0,0.375,0.506,0.878,0.688,0.695,391,0,5,2413,13,0,,,,18–24,,,
1,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t1,,,,,lp102b02,0,0,0,0,0.3,0.984,0.625,1,522,0,5,2413,13,0,,,,18–24,,,
1,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t1,,,,,lp30277,0,0,0,0.938,0.769,0.976,0.125,0.438,33,0,5,2413,13,0,,,,18–24,,,
1,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t1,,,,,lpb1537,0,0,0,0.562,0.544,0.988,0,0.663,34,0,5,2413,13,0,,,,18–24,,,
1,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t1,,,,,lp81760,0,0,0,0.188,0.169,0.878,0.875,0.808,33,0,5,2413,13,0,,,,18–24,,,
2,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t2,,,,,lp656d3aa9,0,0,0,0.062,0.25,0.882,0.812,0.883,0,0,5,1811,130,0,,,,18–24,,,
2,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t2,,,,,lp81760,0,0,0,0.188,0.169,0.878,0.875,0.808,319,0,5,1811,130,0,,,,18–24,,,
2,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t2,,,,,lpb1537,0,0,0,0.562,0.544,0.988,0,0.663,151,0,5,1811,130,0,,,,18–24,,,
2,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t2,,,,,lp30277,0,0,0,0.938,0.769,0.976,0.125,0.438,167,0,5,1811,130,0,,,,18–24,,,
2,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t2,,,,,lp102b02,0,0,0,0,0.3,0.984,0.625,1,316,0,5,1811,130,0,,,,18–24,,,
3,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t3,,,,,lp741c5,0,0,0,0.562,0.656,0.89,0.5,0.583,299,0,5,1705,49,0,,,,18–24,,,
3,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t3,,,,,lp81760,0,0,0,0.188,0.169,0.878,0.875,0.808,131,0,5,1705,49,0,,,,18–24,,,
3,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t3,,,,,lp102b02,0,0,0,0,0.3,0.984,0.625,1,151,0,5,1705,49,0,,,,18–24,,,
3,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t3,,,,,lpb1537,0,0,0,0.562,0.544,0.988,0,0.663,282,0,5,1705,49,0,,,,18–24,,,
3,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t3,,,,,lp30277,0,0,0,0.938,0.769,0.976,0.125,0.438,82,0,5,1705,49,0,,,,18–24,,,
4,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t4,,,,,lp81760,0,0,0,0.188,0.169,0.878,0.875,0.808,0,0,5,1529,38,0,,,,18–24,,,
4,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t4,,,,,lp102b02,0,0,0,0,0.3,0.984,0.625,1,252,0,5,1529,38,0,,,,18–24,,,
4,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t4,,,,,lp1bc0d,0,0,0,0.562,0.469,0.968,0.188,0.663,151,0,5,1529,38,0,,,,18–24,,,
4,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t4,,,,,lp30277,0,0,0,0.938,0.769,0.976,0.125,0.438,133,0,5,1529,38,0,,,,18–24,,,
4,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t4,,,,,lpb1537,0,0,0,0.562,0.544,0.988,0,0.663,199,0,5,1529,38,0,,,,18–24,,,
5,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t5,,,,,lp30277,0,0,0,0.938,0.769,0.976,0.125,0.438,0,0,5,1426,57,0,,,,18–24,,,
5,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t5,,,,,lp3e58e,0,0,0,0.188,0.262,0.968,0.25,0.887,261,0,5,1426,57,0,,,,18–24,,,
5,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t5,,,,,lp81760,0,0,0,0.188,0.169,0.878,0.875,0.808,133,0,5,1426,57,0,,,,18–24,,,
5,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t5,,,,,lpb1537,0,0,0,0.562,0.544,0.988,0,0.663,149,0,5,1426,57,0,,,,18–24,,,
5,7dbfdcc8-51b9-4436-980a-b749a1c6af7d,t5,,,,,lp102b02,0,0,0,0,0.3,0.984,0.625,1,216,0,5,1426,57,0,,,,18–24,,,
6,17b175bb-7581-4da4-be00-83ed4e1a41e4,t1,galle_face,spatial,economic,,lp102b02,0,21,1,0.4,0.343,0.984,0.429,0.688,0,35,35,30844,92,0,distance,,,18–24,Student,"Under LKR 50,000",Kotte / Nawala
6,17b175bb-7581-4da4-be00-83ed4e1a41e4,t1,galle_face,spatial,economic,,lp6557c6e0,0,17,1,0.514,0.571,0.894,0.257,0.45,0,35,35,30844,92,0,distance,,,18–24,Student,"Under LKR 50,000",Kotte / Nawala
6,17b175bb-7581-4da4-be00-83ed4e1a41e4,t1,galle_face,spatial,economic,,lp741c5,0,18,1,0.486,0.486,0.89,0.4,0.325,0,35,35,30844,92,0,distance,,,18–24,Student,"Under LKR 50,000",Kotte / Nawala
6,17b175bb-7581-4da4-be00-83ed4e1a41e4,t1,galle_face,spatial,economic,,lp9855f,0,6,1,0.8,0.686,0.878,0.514,0.575,0,35,35,30844,92,0,distance,,,18–24,Student,"Under LKR 50,000",Kotte / Nawala
